Gene_symbol,gene_accession_id,analysis_id,pvalue,mouse_life_stage,parameter_id,parameter_name,parameter_description,parameter_group,mouse_strain
Abcg3,MGI:1351624,8rsw646n1t24697,NULL,Early adult,HMGULA_CBC_015_001,Total cholesterol,generated during R cleaning due to missing Parameter ID metadata,CBC Chemistry,C57BL
Abcg3,MGI:1351624,i6b7j6ee2006016,0.0642463,Early adult,M_G_P_020_001_001,Body Weight,generated during R cleaning due to missing Parameter ID metadata,Weight,C57BL
Abcg3,MGI:1351624,3mm361mb208h37j,0.066899,Early adult,IMPC_DXA_005_001,Bone Mineral Content (excluding skull),Bone_mineral_content_excluding_skull,Images,C57BL
Abcg3,MGI:1351624,30x6mah628732x0,0.068749,Early adult,ESLIM_016_001_006,Mean corpuscular hemoglobin,generated during R cleaning due to missing Parameter ID metadata,Hematology,C57BL
Abcg3,MGI:1351624,337oily88mwf622,0.07058,Early adult,IMPC_CSD_032_001,Locomotor activity,Locomotor_activity,Images,C57BL
Abcg3,MGI:1351624,w612z753g8532g9,0.0789056,Early adult,IMPC_CBC_020_001,Fructosamine,Fructosamine,CBC Chemistry,C57BL
Abcg3,MGI:1351624,0svni756fgd686k,0.0847561,Early adult,IMPC_HEM_036_001,Eosinophil cell count,A_white_blood_cell_(wbc)_count_measures_the_number_of_white_blood_cells_in_your_blood._A_wbc_differential_determines_the_percentage_of_each_type_of_white_blood_cell_present_in_your_blood._A_differential_can_also_detect_immature_white_blood_cells_or_any_abnormalities_both_of_which_are_signs_of_a_potential_problem.,Hematology,C57BL
Abcg3,MGI:1351624,ocz9198c1jtp0ki,0.0898036,Early adult,IMPC_OFD_013_001,Periphery average speed,Periphery_average_speed,Activity/Movement,C57BL
Abcg3,MGI:1351624,90ss8rrk9v9je54,0.0958394,Early adult,IMPC_CBC_001_001,Sodium,Sodium,CBC Chemistry,C57BL
Abcg3,MGI:1351624,ga532j0yff46roj,0.096921,Early adult,IMPC_EYE_056_001,Mean left eye lens density,NA,Eye Morphology,C57BL
Abcg3,MGI:1351624,wu1l609033mc007,0.103176,Early adult,IMPC_CSD_019_001,Forelimbs - size,Forelimbs_size,Images,C57BL
Abcg3,MGI:1351624,4mr6g1at219601j,0.111594,Early adult,TCP_CHL_072_001,PBS Inspiratory time,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Abcg3,MGI:1351624,ep9459uygb9dmw0,0.117149,Early adult,IMPC_OFD_018_001,Latency to center entry,Latency_to_center_entry,Activity/Movement,C57BL
Abcg3,MGI:1351624,lq3038505tvjh87,0.120265,Early adult,IMPC_CBC_002_001,Potassium,Potassium,CBC Chemistry,C57BL
Abcg3,MGI:1351624,uzq1m0572ht3lpm,0.121934,Early adult,ESLIM_016_001_007,Mean cell hemoglobin concentration,generated during R cleaning due to missing Parameter ID metadata,Hematology,C57BL
Abcg3,MGI:1351624,v7d12449531cqv0,0.1248,Early adult,IMPC_CBC_007_001,Albumin,Albumin,CBC Chemistry,C57BL
Abcg3,MGI:1351624,5b5558q85l31rmt,0.127879,Early adult,IMPC_OFD_020_001,Distance travelled - total,Distance_travelled_total,Activity/Movement,C57BL
Abcg3,MGI:1351624,8q416t633lb4t6c,0.129343,Early adult,IMPC_EYE_025_001,Retinal Blood Vessels Structure,Retinal_blood_vessels_structure,Eye Morphology,C57BL
Abcg3,MGI:1351624,ljj0e9b1113rr36,0.133748,Early adult,JAX_OFD_007_001,Whole arena resting time,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Abcg3,MGI:1351624,57xb575gelin6z7,0.136481,Early adult,ESLIM_011_001_007,PP1 + pulse startle magnitude,generated during R cleaning due to missing Parameter ID metadata,Brain,C57BL
Abcg3,MGI:1351624,3g711b9w9un08hq,0.139889,Early adult,IMPC_EYE_068_001,Left total retinal thickness,NA,Eye Morphology,C57BL
Abcg3,MGI:1351624,95o39l537n6x97w,0.140266,Early adult,IMPC_ABR_002_001,Click-evoked ABR threshold,Click_evoked_abr_threshold,Brain,C57BL
Abcg3,MGI:1351624,uyo0525u70867g6,0.143173,Early adult,IMPC_EYE_057_001,Min right eye lens density,NA,Eye Morphology,C57BL
Abcg3,MGI:1351624,9n34v2uu0wx70f3,0.148107,Early adult,M_G_P_025_001_003,Creatinine,generated during R cleaning due to missing Parameter ID metadata,CBC Chemistry,C57BL
Abcg3,MGI:1351624,ov41m0hrro88397,0.1603,Early adult,IMPC_ECG_010_001,HRV,NA,Images,C57BL
Abcg3,MGI:1351624,1hfeaxfew9z15v8,0.169221,Early adult,IMPC_HEM_034_001,Monocyte cell count,A_white_blood_cell_(wbc)_count_measures_the_number_of_white_blood_cells_in_your_blood._A_wbc_differential_determines_the_percentage_of_each_type_of_white_blood_cell_present_in_your_blood._A_differential_can_also_detect_immature_white_blood_cells_or_any_abnormalities_both_of_which_are_signs_of_a_potential_problem.,Hematology,C57BL
Abcg3,MGI:1351624,49lse890h4ehtvk,0.176752,Early adult,IMPC_HWT_008_001,Heart weight,Heart_weight,Weight,C57BL
Abcg3,MGI:1351624,khhz345uaz28b3b,0.179283,Early adult,IMPC_DXA_009_001,Fat/Body weight,Fat_body_weight,Weight,C57BL
Abcg3,MGI:1351624,lrf64uayt4rzwr1,0.18598,Early adult,IMPC_OFD_012_001,Periphery permanence time,Periphery_permanence_time,Activity/Movement,C57BL
Abcg3,MGI:1351624,1j307n69o394kep,0.186725,Early adult,IMPC_FEA_015_001,Cue Baseline % Freezing Time,Cue_baseline_freezing_time,Brain,C57BL
Abcg3,MGI:1351624,u888740288323c1,0.187627,Early adult,IMPC_GEL_063_001,Delayed embryonic development,NA,Morphology/Development,C57BL
Abcg3,MGI:1351624,q4981ty06835935,0.189834,Early adult,IMPC_CBC_058_001,Cholesterol ratio,Tc/hdlc_ratio,CBC Chemistry,C57BL
Abcg3,MGI:1351624,2d475te3z61314e,0.200788,Early adult,HMGULA_GRS_011_001,Forelimb and hindlimb grip strength normalised against body weight,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Abcg3,MGI:1351624,57fy1yq7ti9680m,0.207805,Early adult,M_G_P_016_001_005,Mean cell volume,generated during R cleaning due to missing Parameter ID metadata,Hematology,C57BL
Abcg3,MGI:1351624,6690q563sqqg8t5,0.209973,Early adult,IMPC_EYE_016_001,Lens,Lens,Eye Morphology,C57BL
Abcg3,MGI:1351624,30tu40809d9u883,0.217811,Early adult,IMPC_EYE_063_001,Right inner nuclear layer,NA,Eye Morphology,C57BL
Abcg3,MGI:1351624,65c7b0q37vzfi34,0.224265,Early adult,IMPC_ACS_033_001,% Pre-pulse inhibition - PPI1,Pre_pulse_inhibition_pp1,Brain,C57BL
Abcg3,MGI:1351624,0u6laj1a0nf54sx,0.225072,Early adult,ESLIM_007_001_006,Periphery distance travelled,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Abcg3,MGI:1351624,v2txxuw9e070ay4,0.232747,Early adult,IMPC_HEM_005_001,Mean cell volume,Mean_cell_volume,Hematology,C57BL
Abcg3,MGI:1351624,08mafn49t9x5b1q,0.245636,Early adult,IMPC_DXA_008_001,Lean/Body weight,Lean_body_weight,Weight,C57BL
Abcg3,MGI:1351624,v13hgby66766d31,0.248079,Early adult,IMPC_DXA_010_001,Bone Area,Bone_area_bmc_bmd,Images,C57BL
Abcg3,MGI:1351624,d337893h8658c22,0.249363,Early adult,IMPC_EYE_007_001,Cornea,Cornea,Eye Morphology,C57BL
Abcg3,MGI:1351624,j9f9i08q012lwc7,0.252146,Early adult,IMPC_EYE_026_001,Retinal Blood Vessels Pattern,Retinal_blood_vessels_pattern,Eye Morphology,C57BL
Abcg3,MGI:1351624,p5dapoxj8c51b12,0.261193,Early adult,IMPC_IPG_012_001,Area under glucose response curve,NA,CBC Chemistry,C57BL
Abcg3,MGI:1351624,39163j2fz2d68tb,0.262579,Early adult,IMPC_OFD_050_001,Percentage center movement time,Percentage_center_movement_time,Activity/Movement,C57BL
Abcg3,MGI:1351624,zw49t991q76z456,0.274076,Early adult,IMPC_GEL_060_001,Neural tube morphology,NA,Morphology/Development,C57BL
Abcg3,MGI:1351624,066bd5a4690q852,0.279497,Early adult,ESLIM_011_001_010,PP4 + pulse startle magnitude,generated during R cleaning due to missing Parameter ID metadata,Brain,C57BL
Abcg3,MGI:1351624,55kq86fk3i14u91,0.290208,Early adult,CCP_XRY_058_001,Lordosis,generated during R cleaning due to missing Parameter ID metadata,Images,C57BL
Abcg3,MGI:1351624,656fn35e6lf8i85,0.291409,Early adult,IMPC_HEM_031_001,Lymphocyte differential count,A_white_blood_cell_(wbc)_count_measures_the_number_of_white_blood_cells_in_your_blood._A_wbc_differential_determines_the_percentage_of_each_type_of_white_blood_cell_present_in_your_blood._A_differential_can_also_detect_immature_white_blood_cells_or_any_abnormalities_both_of_which_are_signs_of_a_potential_problem.,Hematology,C57BL
Abcg3,MGI:1351624,qu6057070uea3ll,0.293071,Early adult,IMPC_OFD_017_001,Center average speed,Center_average_speed,Activity/Movement,C57BL
Abcg3,MGI:1351624,y8e1n8iiw6m89zp,0.316038,Early adult,IMPC_GEP_004_002,Spontaneous movement,No_spontaneous_movement,Activity/Movement,C57BL
Abcg3,MGI:1351624,04439740q30kah2,0.324136,Early adult,M_G_P_016_001_006,Mean corpuscular hemoglobin,generated during R cleaning due to missing Parameter ID metadata,Hematology,C57BL
Abcg3,MGI:1351624,f0en172vu15b9ld,0.32577,Early adult,IMPC_EYE_012_001,Pupil Shape,Pupil_shape,Eye Morphology,C57BL
Abcg3,MGI:1351624,2165628z984y014,0.333358,Early adult,IMPC_HEM_029_001,Neutrophil differential count,A_white_blood_cell_(wbc)_count_measures_the_number_of_white_blood_cells_in_your_blood._A_wbc_differential_determines_the_percentage_of_each_type_of_white_blood_cell_present_in_your_blood._A_differential_can_also_detect_immature_white_blood_cells_or_any_abnormalities_both_of_which_are_signs_of_a_potential_problem.,Hematology,C57BL
Abcg3,MGI:1351624,9vjtsbf714yf7oz,0.337226,Early adult,IMPC_ABR_012_001,30kHz-evoked ABR Threshold,30khz_evoked_abr_threshold,Brain,C57BL
Abcg3,MGI:1351624,r6p049smeq629ip,0.343747,Early adult,ESLIM_018_001_002,T cell CD8+ percentage,generated during R cleaning due to missing Parameter ID metadata,Immunology,C57BL
